art_id,art_name,art_name_first,art_name_nick,art_name_last,art_name_group,art_year_birth,art_place_birth,art_year_death,art_place_death,art_place_living_working,art_nationality,art_area,art_bio,art_image,art_url
83,Bernhard Wolf,Bernhard,,Wolf,,,,,,,,,,,
84,Besucher*innen,,,,Besucher*innen,,,,,,,,,,
85,Bettina Landl,Bettina,,Landl,,,,,,,,,,,
86,Billy Roisz,Billy,,Roisz,,1967,Vienna,,,Vienna,Austria,Europe,,,
87,Birgit Jürgensen (†),Birgit,,Jürgensen,,1949,Vienna,2003,,Vienna,Austria,Europe,,,
88,Birgit Pölzl,Birgit,,Pölzl,,,,,,,,,,,
89,Bojan Petrovic,Bojan,,Petrovic,,,,,,,,,,,
90,Boris Matrosov,Boris,,Matrosov,,,,,,,,,,,
91,Bostjan Perovsek,Bostjan,,Perovsek,,,,,,,,,,,
92,Branka Ćurčić,Branka,,Ćurčić,,,,,,,,,,,
93,Breda Susa,Breda,,Susa,,,,,,,,,,,
94,Bronislava Anatolejevnaja Dubner,Bronislava,,Anatolejevnaja Dubner,,,,,,,,,,,
95,Bruno Frei,Bruno,,Frei,,,,,,,,,,,
96,Bulbul,,,,Bulbul,,,,,,,,,,
97,"Cabinet Caligari (Peter Deutschmeister, Heinz Hutter, Leo Kreisel-Strausz)",,,,"Cabinet Caligari (Peter Deutschmeister, Heinz Hutter, Leo Kreisel-Strausz)",,,,,,,,,,
98,Cándida Meza Alvarado,Cándida,,Meza Alvarado,,,,,,,,,,,
99,Carsten Stabenow – tuned city,Carsten,,Stabenow,,,,,,,,,,,
100,Catalina Peralta,Catalina,,Peralta,,1963,Bogotá,,,,Colombia,America (South),,,
101,Catherine Rollier,Catherine,,Rollier,,1955,Biel-Bienne (CH),,,Vienna,Switzerland,Europe,,,
102,Catrin Bolt,Catrin,,Bolt,,1979,Friesach,,,Vienna,Austria,Europe,,,
103,Celia Carolina López Meza,Celia Carolina,,López Meza,,,,,,,,,,,
104,Cho Choul-Ho,Cho,,Choul-Ho,,,,,,,South Korea,Asia,,,
105,Cho Tae-Hee,Cho,,Tae-Hee,,,,,,,South Korea,Asia,,,
106,Choi Eun-Kyu,Choi,,Eun-Kyu,,,,,,,South Korea,Asia,,,
107,Choi Jae-Hwang,Choi,,Jae-Hwang,,,,,,,South Korea,Asia,,,
108,Christian Bachler,Christian,,Bachler,,1960,St. Johann in Tirol,,,Graz,Austria,Europe,,,
109,Christian KRI Kammerhofer,Christian,KRI,Kammerhofer,,1971,Bruck/Mur,,,,Austria,Europe,,,
110,Christian Ruck,Christian,,Ruck,,,,,,,,,,,
111,Christiane Spatt,Christiane,,Spatt,,,,,,,,,,,
112,Christina Meissner,Christina,,Meissner,,,,,,,,,,,
113,Christina Werner,Christina,,Werner,,,,,,,,,,,
114,Christine S. Prantauer,Christine S.,,Prantauer,,,,,,,,,,,
115,Christine Ulm,Christine,,Ulm,,,,,,,,,,,
116,Christof Elpons,Christof,,Elpons,,,,,,,,,,,
117,Christoph Lissy,Christoph,,Lissy,,,,,,,,,,,
118,Christoph Mauz,Christoph,,Mauz,,1971,Wien,,,,Austria,Europe,,,
119,Christoph Zarsel,Christoph,,Zarsel,,,,,,,,,,,
120,Christopher Grüner,Christopher,,Grüner,,,,,,,,,,,
121,Christopher Kalwei,Christopher,,Kalwei,,,,,,,,,,,
122,Chung Chung-Soo,Chung,,Chung-Soo,,,,,,,,,,,
123,Chung U-Chol,Chung,,U-Chol,,,,,,,South Korea,Asia,,,
124,Clarissa Wanko,Clarissa,,Wanko,,,,,,,,,,,
125,Claudia Märzendorfer,Claudia,,Märzendorfer,,1969,Vienna,,,Vienna,Austria,Europe,,,
126,Claudia Plank,Claudia,,Plank,,,,,,,,,,,
127,Clemens Pliem,Clemens,,Pliem,,,,,,,,,,,
128,club real * Berlin,,,,club real (Berlin),,,,,Berlin,Germany,Europe,,,
129,Colectivo Veinti3,,,,Colectivo Veinti3,,,,,,Nicaragua/Costa Rica,America (Central),,,
130,Concha Jerez,Concha,,Jerez,,,,,,,,,,,
131,Conny Köberl,Conny,,Köberl,,1968,,,,,Austria,Europe,,,
132,Consuelo Mora Benard,Consuelo,,Mora Benard,,1981,Granada,,,,Nicaragua,America (Central),,,
133,Cornelia Genschow,Cornelia,,Genschow,,1974,Dresden,,,"Bonn, Grafschaft",Germany,Europe,,,
134,Corona,,,,Corona,,,,,,,,,,
135,Cym (Simone van Groenestijn),Simone,Cym,van Groenestijn,,,,,,"Austria, Netherlands",Netherlands,Europe,,,
136,Dagmar Anna Hödl,Dagmar Anna,,Hödl,,,,,,,Austria,Europe,,,
137,Daniil Filipov,Daniil,,Filipov,,,,,,,,,,,
138,Darwin Andino,Darwin,,Andino,,1983,Tegucigalpa,,,,Honduras,America (Central),,,
139,Dave Allen,Dave,,Allen,,1963,Glasgow,,,Stockholm,,Europe,,,
140,David Kranzelbinder,David,,Kranzelbinder,,1982,Graz,,,"Graz, Slowenien, Südsteiermark",Austria,Europe,,,
141,ddkern (Dieter Kern),Dieter,ddkern,Kern,,,Lustenau,,,Vienna,Austria,Europe,,,
142,de player,,,,de player,,,,,,,,,,
143,Dejan Dukic,Dejan,,Dukic,,1975,Vienna,,,Vienna,Austria,Europe,,,
144,Dejan Lapanja,Dejan,,Lapanja,,1981,,,,,Slovenia,Europe,,,
145,Department München,,,,Department München,,,,,,,,,,
146,Roland derHunt/Ratti Rathmair,Roland,derHunt/Ratti,Rathmair,,,,,,,Austria,Europe,,,
147,"DI Martin Regelsberger, Kulturtechnik u. Wasserwirtschaft",Martin,,Regelsberger,,,,,,,Austria,Europe,,,
148,Diana Levin,Diana,,Levin,,1977,Kraków,,,Vienna,,Europe,,,
149,"Die Jugendlichen (J., A., K., O., M., I., und einige mehr)",,,,"Die Jugendlichen (J., A., K., O., M., I., und einige mehr)",,,,,,,,,,
150,Die Sixtinische Kapelle _ Confuse the nuns,,,,Die Sixtinische Kapelle _ Confuse the nuns,,,,,,,,,,
151,Dieter Glawischnig,Dieter,,Glawischnig,,1938,Graz,,,,Austria,Europe,,,
152,Dietmar Hollenstein,Dietmar,,Hollenstein,,1957,Lustenau,,,,Austria,Europe,,,
153,Dietmar Offenhuber,Dietmar,,Offenhuber,,1973,,,,,Austria,Europe,,,
154,Dimitry Nikolaev,Dimitry,,Nikolaev,,1960,,,,Moscow,Russia,Europe,,,
155,Dinah Geiger,Dinah,,Geiger,,1963,,,,Berlin,"Germany, Switzerland",Europe,,,
156,Donatella Ruttar,Donatella,,Ruttar,,,,,,,,,,,
157,Doris Prlić,Doris,,Prlić,,1984,Salzburg,,,,Austria,Europe,,,
