id,label,node_type,pro_year_begin,pro_year_end,ser_id,ser_title,eve_cat_id
A_387,Künstlergruppe Piedra del Sol (A/MEX),artist,,,,,
A_388,Kurt Bauer,artist,,,,,
A_389,Kurt Strohmeier,artist,,,,,
A_390,Kvartet 4 U (Rož),artist,,,,,
A_391,Leszek Drzewiński,artist,,,,,
A_392,Label niesom,artist,,,,,
A_393,Lale Rodgarkia-Dara,artist,,,,,
A_394,Lalo Srkalovic,artist,,,,,
A_395,Lamia Jabri,artist,,,,,
A_396,Larissa Lasareva,artist,,,,,
A_397,Larissa Zvezdochotova,artist,,,,,
A_398,László Darvasi,artist,,,,,
A_399,László Garaczi,artist,,,,,
A_400,László Varvasovszky,artist,,,,,
A_401,Lawrence Weiner (†),artist,,,,,
A_402,Leana Yamileth López Álvarez,artist,,,,,
A_403,Leandro Remigio López Meza,artist,,,,,
A_404,Lee Byung-Chun,artist,,,,,
A_405,Lee Doo-Seop,artist,,,,,
A_406,Lee Hang,artist,,,,,
A_407,Lee Jai-Min,artist,,,,,
A_408,Lee Jin-Dong,artist,,,,,
A_409,Lee Jong-Sun,artist,,,,,
A_410,Lee Joo-Sung,artist,,,,,
A_411,Lee Joung-Gun,artist,,,,,
A_412,Lee Jung-Hoon,artist,,,,,
A_413,Lee Keun-Myung,artist,,,,,
A_414,Lee Kwang-Soo,artist,,,,,
A_415,Lee Moon-Soo,artist,,,,,
A_416,Lee Won-Il,artist,,,,,
A_417,Leo Hainzl,artist,,,,,
A_418,Leo Kreisel-Strausz (†),artist,,,,,
A_419,Leon Hainzl & Gertraud Hasselbach,artist,,,,,
A_420,Leonel Cerrato Jirón,artist,,,,,
A_421,Léster Lagos López,artist,,,,,
A_422,Lidia Zielińska,artist,,,,,
A_423,Lidija Radojević,artist,,,,,
A_424,Liesl Ujvary,artist,,,,,
A_425,Lina Gärtner,artist,,,,,
A_426,LONESOME HOT DUDES,artist,,,,,
A_427,Lorena Campbell,artist,,,,,
A_428,Lorenzo Armendáriz,artist,,,,,
A_429,Lothar Lässer,artist,,,,,
A_430,Lotte Lyon,artist,,,,,
A_431,Luis E. FalconiI,artist,,,,,
A_432,Luis Lupone,artist,,,,,
A_433,Luka Ropret,artist,,,,,
A_434,Lukas Cejpek,artist,,,,,
A_435,M&S Architects – Uta Lambrette,artist,,,,,
A_436,Mieczyslaw Górowski (†),artist,,,,,
A_437,Maciej Majewski,artist,,,,,
A_438,Mads Westrup,artist,,,,,
A_439,Mag. Birgit Lesjak-Ladstaetter,artist,,,,,
A_440,Magdalena Gasser,artist,,,,,
A_441,Maia Gusberti,artist,,,,,
A_442,Máisara Natividad López Meza,artist,,,,,
A_443,Maja Osojnik,artist,,,,,
A_444,Maksim Stolpovski,artist,,,,,
A_445,Malis Stöger,artist,,,,,
A_446,Manfred Engelmayr,artist,,,,,
A_447,Manfred Kummer,artist,,,,,
A_448,Manfred Stern,artist,,,,,
A_449,Manuela Froudarakis,artist,,,,,
A_450,Margit Franz,artist,,,,,
A_451,Margit Maure,artist,,,,,
A_452,Margret Kreidl,artist,,,,,
A_453,Maria Hubinger,artist,,,,,
A_454,Maria Slovakova,artist,,,,,
A_455,Mariana Rosenberg,artist,,,,,
A_456,Marianna Dellekamp,artist,,,,,
A_457,Marilyn Collins,artist,,,,,
A_458,Mario Mitzka,artist,,,,,
A_459,Marko Maric,artist,,,,,
A_460,Markus Dorner,artist,,,,,
A_461,Markus Gfrerer,artist,,,,,
A_462,Markus Haslinger,artist,,,,,
A_463,Markus Pieber,artist,,,,,
A_464,Markus Stieber,artist,,,,,
A_465,Marlene Haring,artist,,,,,
A_466,Marlene Persch,artist,,,,,
A_467,Martin Breindl,artist,,,,,
A_468,Martin Dickinger,artist,,,,,
A_469,Martin G.Wanko,artist,,,,,
A_470,Martin Honzik mit Pferd Bibi,artist,,,,,
A_471,Martin Plass,artist,,,,,
A_472,Martin Zrost,artist,,,,,
A_473,Martina Cizek,artist,,,,,
A_474,Maryluz Álvarez,artist,,,,,
A_475,Matej Bundela-Havaj,artist,,,,,
A_476,Mathias Fuchs,artist,,,,,
A_477,Mathias Loibner,artist,,,,,
A_478,Matjaž Pikalo,artist,,,,,
A_479,Matthias Bernhard,artist,,,,,
A_480,Maxwell Sibanda,artist,,,,,
A_481,Michael Bergbaur,artist,,,,,
A_482,Michael Fanta,artist,,,,,
A_483,Michael Geyersbach,artist,,,,,
A_484,Michaela Hampala (Museum der Wahrnehmung),artist,,,,,
A_485,Michaela Niederkircher,artist,,,,,
A_486,Michele Spanghero,artist,,,,,
A_487,Miguel Ángel Morales,artist,,,,,
A_488,mik,artist,,,,,
A_489,Milo Strauss,artist,,,,,
A_490,Mir Mar,artist,,,,,
A_491,Mira Palmisano,artist,,,,,
A_492,Miriam Bajtala,artist,,,,,
A_493,Mirko Marić,artist,,,,,
A_494,Misrad Šehic,artist,,,,,
A_495,Moisés Mora,artist,,,,,
A_496,Moke Klengel,artist,,,,,
A_497,Monika Kummer-Pretterhofer,artist,,,,,
A_498,Moreno Miorelli,artist,,,,,
A_499,Moucle Blackout,artist,,,,,
A_500,mur.at–initiative netzkultur,artist,,,,,
A_501,Mustafa Gül,artist,,,,,
A_502,Mustafa Skopljak (†),artist,,,,,
A_503,N.N./Erfahrungen aus dem Wagenplatz-Umfeld (Wien),artist,,,,,
A_504,Nadja Folger,artist,,,,,
A_505,Natalia Pschenitschnikowa,artist,,,,,
A_506,Nataša Konzilia,artist,,,,,
A_507,Natascha Varonitsina Varona,artist,,,,,
A_508,Natividad de la Concepción Meza Alvarado,artist,,,,,
A_509,Nedim Ademovic,artist,,,,,
A_510,Nestor Bravo,artist,,,,,
A_511,Nick Acorne,artist,,,,,
A_512,Nicole Pruckermayr,artist,,,,,
A_513,Nicole Six,artist,,,,,
