id,label,art_year_birth,art_year_death,art_nationality,art_area
A_193,Eva Choung-Fux,,,,Europe
A_194,Eva Rossmann,,,,Europe
A_195,Eva Ursprung,,,,Europe
A_196,Eva Wohlgemuth,,,,Europe
A_197,Eva-Maria Gugg,,,,Europe
A_198,Evelyn Schalk,1981,,Austria,Europe
A_199,Ewald Oberleitner,,,,Europe
A_200,Ewald Puhr,,,,Europe
A_201,Falk Messerschmidt,,,,Europe
A_202,Faroe Gandur,,,,
A_203,Felipe Ehrenberg,,,,
A_204,Ferdinand Schmatz,,,,Europe
A_205,Fikret Libovac,1957,,BiH,Europe
A_206,firn/Tom Weghofer,,,,Europe
A_207,Flora Neuwirth,,,,Europe
A_208,Florian 'Flo' Sorgo,1982,,Austria,Europe
A_209,Francesco de Luca,,,,
A_210,Francisco González (Chico Güirila),,,,
A_211,Francisco Klinger Carvalho,,,,
A_212,Francisco Londoño,,,Colombia,America (South)
A_213,Franz Niegelhell,,,,Europe
A_214,Franzobel (Franz Stefan Griebl),1967,,Austria,Europe
A_215,Freddy Isabel López Álvarez,,,,
A_216,frei. improvisiert. jazz,,,,Europe
A_217,Frie Moschitz,,,,Europe
A_218,Frie Moschitz & groupe en suite,,,,Europe
A_219,Frie Reissig,,,,Europe
A_220,Fritz Bergler,,,,Europe
A_221,Fritz Fro,,,,Europe
A_222,Fritz Oberleitner,,,,Europe
A_223,Fugu and the Cosmic Mumu,,,,Europe
A_224,Grażyna Drzewińska,,,Poland,Europe
A_225,Geari Schreilechner,,,,Europe
A_226,Genoveva Rückert,,,,Europe
A_227,Georg Jappe,,,,Europe
A_228,Gerd Jabourek,,,,Europe
A_229,Gerd Menia,,,,Europe
A_230,Gerhard Pilgram,,,,Europe
A_231,Gerhard Ruiss,1951,,Austria,Europe
A_232,German Vinogradov,,,,Europe
A_233,Gernot Tscherteu,,,,Europe
A_234,Gert Langer,,,,Europe
A_235,Giberto Chen Carpentier,,,,
A_236,Gilles Charalambos,,,,
A_237,global bastards,,,,
A_238,Gloria Posada,,,Colombia,America (South)
A_239,Gloria Ribe,,,,
A_240,Gomez-Strausz,,,,
A_241,Gottfried Bechtold,,,,Europe
A_242,Gottfried Krienzer,,,,Europe
A_243,Grace Quintanilla,,,,
A_244,Gregor Pokorny,,,,Europe
A_245,Gregorio Rocha,,,,
A_246,Gruppe “Die Weisheit mit grossen Löffeln gegessen”,,,,Europe
A_247,Gruppe Norden,,,,Europe
A_248,Gudrun Bielz,,,,Europe
A_249,Gue Schmidt,,,,Europe
A_250,Günter Eichberger,,,,Europe
A_251,Gustav Böhm,,,,Europe
A_252,Gustavo Vázquez,,,,
A_253,Henryk Tomaszewski,,,Poland,Europe
A_254,H.J. Schubert,1956,,Austria,Europe
A_255,Halt+Boring,,,,Europe
A_256,Hamza Alshafe,,,,
A_257,Han Byung-Ki,,,South Korea,Asia
A_258,Hannes Priesch,,,,Europe
A_259,Hans Kuppelwieser,,,,Europe
A_260,Hans Puhr,,,,Europe
A_261,Hans Schabus,,,,Europe
A_262,Hans Werner Poschauko,1963,,,Europe
A_263,Harald Huskava,,,,Europe
A_264,Hari Bukovsec,,,,
A_265,Hasan Solmaz,,,,
A_266,Haydee Garcia,,,Colombia,America (South)
A_267,Hector Aquilar,,,,
A_268,Hedya Klein,,,,
A_269,Heidi Ratschop,,,,Europe
A_270,HeiDi Richter,,,,Europe
A_271,Heidrun Langer,,,Germany,Europe
A_272,Heidrun Zettelbauer,,,,Europe
A_273,Heimo Puschnigg (†),1955,2021,,Europe
A_274,Heimo Wallner,,,,Europe
A_275,Helga Glattfelder-Knöbl,,,,Europe
A_276,Helga Petrau-Heinzel,,,,Europe
A_277,Helmut Mark,,,,Europe
A_278,Helwig Brunner,,,,Europe
A_279,Heribert Hirschmann (†),1955,2016,,Europe
A_280,Hong Hyun-Chul,,,South Korea,Asia
A_281,Hong Kyoung-A,,,South Korea,Asia
A_282,Hong Seon-Kee,,,South Korea,Asia
A_283,Hubert Höllmüller,,,,Europe
A_284,Hugo Córdoba,,,Colombia,America (South)
A_285,Hugo Ochoa,,,,Europe
A_286,Hunger auf Kunst und Kultur,,,Austria,Europe
A_287,IG-Kultur Steiermark,,,,
A_288,Ignacio Deserega,,,,
A_289,Ilona Nemeth,,,,
A_290,Infoladen Graz,,,,Europe
A_291,Inge Freidl,,,,Europe
A_292,Ingo Abeska,1953,,Austria,Europe
A_293,Ira Mihalevic,,,,Europe
A_294,Irene del Socorro López Meza,,,,
A_295,Irene López Meza,,,,
A_296,Isabel Leveche,,,,
